atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,RB,PE,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,
ata,262,85300,6,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Provável,0,7.04,0,5.23,Flamengo,1,6,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,419
ata,262,85300,11,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Suspenso,-6.1,4.59,-1.45,1.25,Flamengo,3,6,8,8,1,2,0,0,0,0,0,0,0,0,1,0,0,0,437
ata,262,85300,12,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Dúvida,0,4.59,0,1.25,Flamengo,3,6,8,8,1,2,0,0,0,0,0,0,0,0,1,0,0,0,299
ata,262,85300,24,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,438
ata,262,85300,25,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,753
ata,262,85300,26,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,375
ata,262,85300,27,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,384
ata,262,85300,28,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,552
ata,262,85300,29,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,385
ata,262,85300,30,Orlando Enrique Berrío Meléndez,berrio,Berrío ,https://s.glbimg.com/es/sde/f/2019/04/26/91363f5a07b1bf1bd53bc95cb9436ae9_FORMATO.png,Contundido,0,5.06,0,1.17,Flamengo,4,8,16,15,1,6,0,1,0,0,0,2,1,0,1,0,0,0,442
