atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,DS,PI,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,,atletas.jogos_num
mei,11,38196,2,Maicon Thiago Pereira de Souza,maicon,Maicon,https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png,Provável,0,5.65,0,-1.2,Grêmio,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,1
mei,11,79701,1,Lucas Silva Borges,lucas-silva,Lucas Silva,https://s.glbimg.com/es/sde/f/2020/07/19/35677798312c58c5cc2c64f41b79a8dc_FORMATO.png,Dúvida,2.4,6.09,0.09,2.4,Grêmio,2,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,351,1
mei,11,81845,1,Alisson Euler de Freitas Castro,alisson,Alisson,https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png,Provável,2,6.52,-0.48,2,Grêmio,1,1,10,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,399,1
mei,11,81845,2,Alisson Euler de Freitas Castro,alisson,Alisson,https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png,Provável,2.1,6.34,-0.18,2.05,Grêmio,2,2,19,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,352,2
mei,11,98832,1,Jean Pyerre Casagrande Silveira Correa,jean-pyerre,Jean Pyerre,https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png,Dúvida,0,15,0,0,Grêmio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0
mei,11,100742,1,Matheus Henrique de Souza,matheus-henrique,Matheus Henrique,https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png,Dúvida,0,11,0,0,Grêmio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0
mei,11,100742,2,Matheus Henrique de Souza,matheus-henrique,Matheus Henrique,https://s.glbimg.com/es/sde/f/2020/07/19/2e4d9048adfe4f9650ef110a2758b57e_FORMATO.png,Provável,0,11,0,0,Grêmio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0
mei,12,38913,1,Anderson Luiz de Carvalho,nene,Nenê,https://s.glbimg.com/es/sde/f/2019/07/18/cebc7133c0405d3de507ae28cb920b82_FORMATO.jpeg,Provável,3.5,9.06,0.06,3.5,Fluminense,2,1,17,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,479,1
mei,12,38913,2,Anderson Luiz de Carvalho,nene,Nenê,https://s.glbimg.com/es/sde/f/2020/08/11/f3df6bdc76524f571ea66cc968ab62af_FORMATO.png,Provável,0.2,7.82,-1.24,1.85,Fluminense,4,2,28,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,149,2
mei,12,50324,1,Hudson Rodrigues dos Santos,hudson,Hudson,https://s.glbimg.com/es/sde/f/2020/02/27/ec249396a8787390b685d8b6df63521b_FORMATO.png,Contundido,0,7,0,0,Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0
mei,12,50324,2,Hudson Rodrigues dos Santos,hudson,Hudson,https://s.glbimg.com/es/sde/f/2020/08/11/2f197bbdfc2d69b1a353a2c023b5fc6b_FORMATO.png,Contundido,0,7,0,0,Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0
mei,12,62977,1,Paulo Henrique Chagas de Lima,ganso,Ganso,https://s.glbimg.com/es/sde/f/2019/09/16/326457da2c79ca194d2abecdf7ec0ff8_FORMATO.png,Contundido,0,6,0,0,Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0
